Title,Employer,Employment Type,Link,Email,Contact Text,Description
Y7-8 homeroom teacher,Te Kauwhata College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqDR-year-7-8-homeroom-teacher/,terri.taylor@tkcoll.school.nz,N/A,N/A
Scale A classroom teacher Y0–6 (2 positions),Dalefield School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqDN-two-scale-a-classroom-teacher-positions-year-06/,principal@dalefield.school.nz,N/A,N/A
Social sciences teacher,Diocesan School For Girls,"Full time, Fixed term, Start Date: 19/01/2026, End Date: 26/01/2027(For teacher coverage on a subject area whereby we will assess role numbers in 2027/2028 and reassess feasibility to make a permanent role. )",https://gazette.education.govt.nz/vacancies/1HAqDM-social-sciences-teacher/,recruitment@diocesan.school.nz,N/A,N/A
"Y5–6 classroom teacher, non-tagged",St Peter Chanel Catholic School (Te Rapa),"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqDL-year-56-classroom-teacher-non-tagged-permanent/,nickq@spc.ac.nz,N/A,N/A
Senior Japanese teacher (0.50 FTE),Cashmere High School,"Part time, Fixed term, FTTE up to: 0.5, Start Date: 28/01/2026, End Date: 27/01/2027(Short term curriculum need)",https://gazette.education.govt.nz/vacancies/1HAqDK-senior-japanese-teacher-0-50-fte/,vacancies@cashmere.school.nz,N/A,N/A
Y7 to 13 teacher of science,St Peter's School (Cambridge),"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqDJ-year-7-to-13-teacher-of-science/,hr@stpeters.school.nz,N/A,N/A
Intermediate classroom teacher,Wainuiomata Intermediate,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqDH-intermediate-classroom-teacher/,craigs@wis.school.nz,N/A,N/A
Te Reo Māori Kaiako,Rotorua Intermediate,"Full time, Fixed term, Start Date: 02/02/2026, End Date: 10/12/2026(Roll growth )",https://gazette.education.govt.nz/vacancies/1HAqDF-te-reo-maori-kaiako-position-commencing-term-1-2026/,noraa@rotorua-intermediate.org.nz,N/A,N/A
Y2–3 classroom teacher,Birkenhead School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqDB-year-23-classroom-teacher/,fnaera@bps.school.nz,N/A,N/A
Teacher of social sciences,Wairarapa College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqDE-teacher-of-social-sciences/,jinnes@waicol.nz,N/A,N/A
English teacher,Wairarapa College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqDA-english-teacher/,jinnes@waicol.nz,N/A,N/A
Structured literacy intervention/ CRT teacher,Sacred Heart School (Waikiwi),"Part time, Fixed term, FTTE up to: 0.7, Start Date: 26/01/2026, End Date: 18/12/2026(Special project - Due to MOE and School Board funding for 12 months for the Intervention)",https://gazette.education.govt.nz/vacancies/1HAqD9-structured-literacy-intervention-crt-teacher/,principal@shsinv.school.nz,N/A,N/A
Early intervention teacher,McKenzie Centre,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqD7-early-intervention-teacher/,recruitment@enrichgroup.org.nz,N/A,N/A
Teacher-in-charge of health,Green Bay High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqD2-teacher-in-charge-of-health/,recruitment@greenbayhigh.school.nz,N/A,N/A
Science teacher,Tikipunga High School,"Full time, Long-term relieving (LTR), Start Date: 28/01/2026(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqD1-science-teacher-full-timepart-time-negotiable/,sec@tikihigh.school.nz,N/A,N/A
Y7-8 homeroom teacher. Tagged.,Middleton Grange School,"Full time, Fixed term, Start Date: 26/01/2026, End Date: 11/12/2026(Teacher acting in another position. )",https://gazette.education.govt.nz/vacancies/1HAqD0-year-7-8-homeroom-teacher-tagged/,hr@middleton.school.nz,N/A,N/A
Y7-8 homeroom teacher.  Tagged.,Middleton Grange School,"Full time, Fixed term, Start Date: 26/01/2026, End Date: 11/12/2026(Staff member acting in other position )",https://gazette.education.govt.nz/vacancies/1HAqCy-year-7-8-homeroom-teacher-tagged/,hr@middleton.school.nz,N/A,N/A
Classroom teacher - Y4,Henderson Valley School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 18/12/2026(Flexible work arrangement)",https://gazette.education.govt.nz/vacancies/1HAqCu-classroom-teacher-year-4-fixed-term/,janetm@hvschool.co.nz,N/A,N/A
Teacher - Northland Unit (Kerikeri),Northern Health School,"Part time, Fixed term, FTTE up to: 0.8, Start Date: 02/02/2026, End Date: 11/12/2026(Roll Increase)",https://gazette.education.govt.nz/vacancies/1HAqCs-teacher-northland-unit-kerikeri/,employment@nhs.school.nz,N/A,N/A
Teacher - Northland Unit (Kerikeri),Northern Health School,"Part time, Fixed term, FTTE up to: 0.8, Start Date: 02/02/2026, End Date: 11/12/2026(Roll increase)",https://gazette.education.govt.nz/vacancies/1HAqCx-teacher-northland-unit-kerikeri/,employment@nhs.school.nz,N/A,N/A
Teacher - Northland Unit (Kerikeri),Northern Health School,"Full time, Fixed term, Start Date: 02/02/2026, End Date: 11/12/2026(Roll growth )",https://gazette.education.govt.nz/vacancies/1HAqCw-teacher-northland-unit-kerikeri/,employment@nhs.school.nz,N/A,N/A
Teacher - Northland Unit (Kerikeri),Northern Health School,"Full time, Fixed term, Start Date: 02/02/2026, End Date: 11/12/2026(Roll growth )",https://gazette.education.govt.nz/vacancies/1HAqCv-teacher-northland-unit-kerikeri/,employment@nhs.school.nz,N/A,N/A
2026 - Scale A Kaiako,Finlayson Park School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqCr-2026-scale-a-kaiako/,employment@finlaysonpark.school.nz,N/A,N/A
2026 - Scale A teachers,Finlayson Park School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqCq-2026-scale-a-teachers/,employment@finlaysonpark.school.nz,N/A,N/A
Head Kaiako,Waikanae Beach Kids,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqCo-head-kaiako/,sam@aboutkids.co.nz,N/A,N/A
Y3 or 4 classroom teacher with leadership opportunity,Coatesville School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqCn-year-3-or-4-classroom-teacher-with-leadership-opportunity/,rjohnson@coatesvilleschool.nz,N/A,N/A
Teacher/Kaiako,Carlton School,"Full time, Fixed term, Start Date: 02/02/2026, End Date: 18/12/2026(Fluctuating roll growth)",https://gazette.education.govt.nz/vacancies/1HAqCm-teacherkaiako/,gjohnston@welearn.school.nz,N/A,N/A
Rumaki Kaiako position for 2026,Forest Lake School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 14/12/2026(Family leave )",https://gazette.education.govt.nz/vacancies/1HAqCk-forest-lake-school-rumaki-kaiako-position-for-2026/,geofft@forestlake.school.nz,N/A,N/A
English teacher,St Oran's College,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqCp-english-teacher/,sworthington@storans.school.nz,N/A,N/A
Teacher Y2 or 3 class,Kohia Terrace School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqCh-join-our-collaborative-and-dynamic-team/,alison@kts.school.nz,N/A,N/A
Te Reo and Tikanga Māori teacher,Oratia School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Fixed-term project based)",https://gazette.education.govt.nz/vacancies/1HAqCg-te-reo-and-tikanga-maori-teacher/,michellem@oratia.school.nz,N/A,N/A
Structured literacy intervention kaiako,Te Kura o Pakipaki,"Part time, Fixed term, FTTE up to: 0.8, Start Date: 28/01/2026, End Date: 11/12/2026(Structured literacy intervention)",https://gazette.education.govt.nz/vacancies/1HAqCf-structured-literacy-intervention-kaiako/,jmunro@pakipaki.school.nz,N/A,N/A
Science teacher,Rangi Ruru Girls' School,"Part time, Fixed term, FTTE up to: 0.6, Start Date: 28/01/2026, End Date: 03/12/2026(Specific short term curriculum need and to fill a transitional gap)",https://gazette.education.govt.nz/vacancies/1HAqCe-science-teacher/,s.smith@rangiruru.school.nz,N/A,N/A
Classroom teacher (year group to be determined),Irongate School,"Full time, Fixed term, Start Date: 26/01/2026, End Date: 11/12/2026(Roll based (fluctuation) )",https://gazette.education.govt.nz/vacancies/1HAqCX-fulltime-classroom-teacher-year-group-to-be-determined/,tumuaki@irongate.school.nz,N/A,N/A
Mathematics teacher,Christchurch Boys' High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqCb-mathematics-teacher/,boomerm@staff.cbhs.school.nz,N/A,N/A
Teacher of science,Matamata College,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Parental leave )",https://gazette.education.govt.nz/vacancies/1HAqCa-teacher-of-science/,principalspa@matcol.nz,N/A,N/A
Curriculum leader - fully registered Kaiako,Templeton Nursery and Preschool,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqC_-curriculm-leader-fully-registered-kaiako/,racheal@judderpreschools.co.nz,N/A,N/A
Teacher of science,Rodney College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqCZ-teacher-of-science-permanent-full-time/,principal@rodneycollege.school.nz,N/A,N/A
Maths teacher Y7-13,St Dominic's Catholic College (Henderson),"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqCY-maths-teacher-years-7-13/,principalspa@stdoms.ac.nz,N/A,N/A
Y7–8 Kaiako - technology,Te Matauru Primary,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqCW-y78-kaiako-technology-0-4-permanent-0-6-fixed-term/,principal@tematauru.school.nz,N/A,N/A
Music / performing arts teacher,Meadowbank School,"Full time, Fixed term, Start Date: 26/01/2026, End Date: 18/12/2026(Maternity cover)",https://gazette.education.govt.nz/vacancies/1HAqCS-music-performing-arts-teacher/,jbutel@meadowbank.school.nz,N/A,N/A
Teacher of science and digital technology,Manawatū College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqCQ-teacher-of-science-and-digital-technology/,dpetersen@manawatucollege.school.nz,N/A,N/A
Commerce teacher,Cambridge High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqCN-commerce-teacher/,vacancy@camhigh.school.nz,N/A,N/A
Teacher of physics,Cambridge High School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 09/12/2026(Cover for study leave)",https://gazette.education.govt.nz/vacancies/1HAqCM-teacher-of-physics/,vacancy@camhigh.school.nz,N/A,N/A
Unqualified teacher,Bear Park - St Clair,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqCL-unqualified-teacher/,careers@bearpark.co.nz,N/A,N/A
Business studies teacher,Western Springs College-Ngā Puna o Waiōrea,"Part time, Fixed term, FTTE up to: 0.8, Start Date: 27/01/2026, End Date: 08/12/2026(Specific short-term curriculum need)",https://gazette.education.govt.nz/vacancies/1HAqCJ-business-studies-teacher/,vacancies@wsc.school.nz,N/A,N/A
Unqualified teacher,Bear Park Centre of Learning,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqCG-unqualified-teacher/,careers@bearpark.co.nz,N/A,N/A
Y0–2 classroom teacher,Paparoa Range School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqCF-year-02-classroom-teacher-full-time-permanent/,applications@paparoarange.school.nz,N/A,N/A
Rumaki Kaiako - SENCO (0.6 FTTE),Western Springs College-Ngā Puna o Waiōrea,"Part time, Fixed term, FTTE up to: 0.6, Start Date: 27/01/2026, End Date: 08/12/2026(Short term funding)",https://gazette.education.govt.nz/vacancies/1HAqCE-rumaki-kaiako-senco-0-6-ftte/,vacancies@wsc.school.nz,N/A,N/A
Learning support co-ordinator,Massey High School,"Part time, Fixed term, FTTE up to: 0.5, Start Date: 28/01/2026, End Date: 27/01/2027(While see seek to employ permanently)",https://gazette.education.govt.nz/vacancies/1HAqCD-learning-support-co-ordinator/,ecurtis@masseyhigh.school.nz,N/A,N/A
English teacher,Baradene College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqCA-english-teacher-1mu-full-time-permanent/,employment@baradene.school.nz,N/A,N/A
Te Reo Māori teacher,Otamatea High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqC9-te-reo-maori-teacher/,ohs@otamatea.school.nz,N/A,N/A
Mathematics and statistics teacher Y7-13. Tagged,Middleton Grange School,"Full time, Fixed term, Start Date: 23/01/2026, End Date: 11/12/2026(Staff acting in other positions)",https://gazette.education.govt.nz/vacancies/1HAqC8-mathematics-and-statistics-teacher-y7-13-tagged/,hr@middleton.school.nz,N/A,N/A
Rumaki kaiako - Te Reo Pākehā,Western Springs College-Ngā Puna o Waiōrea,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqC7-rumaki-kaiako-te-reo-pakeha/,vacancies@wsc.school.nz,N/A,N/A
Mathematics and statistics teacher Y7-13. Tagged,Middleton Grange School,"Full time, Fixed term, Start Date: 23/01/2026, End Date: 11/12/2026(Staff acting in other positions)",https://gazette.education.govt.nz/vacancies/1HAqC6-mathematics-and-statistics-teacher-y7-13-tagged/,hr@middleton.school.nz,N/A,N/A
Scale A teacher,Tua Marina School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqC5-scale-a-teacher/,principal@tuamarina.school.nz,N/A,N/A
Samoan bilingual teacher – Y7–8,Robertson Road School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqC4-samoan-bilingual-teacher-year-78/,principal@robertson.school.nz,N/A,N/A
Unqualified teacher,Bear Park Kohimarama,"Part time, Permanent, FTTE up to: 0.3",https://gazette.education.govt.nz/vacancies/1HAqC2-unqualified-teacher/,careers@bearpark.co.nz,N/A,N/A
Science teacher,Northern Southland College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqC1-science-teacher/,sbm@nsc.school.nz,N/A,N/A
Unqualified teacher,Bear Park Kohimarama,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqC0-unqualified-teacher/,careers@bearpark.co.nz,N/A,N/A
Rumaki kaiako - Hākinakina/Hauora,Western Springs College-Ngā Puna o Waiōrea,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqC3-rumaki-kaiako-hakinakinahauora/,vacancies@wsc.school.nz,N/A,N/A
Rumaki kaiako - Te Reo Māori (Years 9-13),Western Springs College-Ngā Puna o Waiōrea,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBz-rumaki-kaiako-te-reo-maori-years-9-13/,vacancies@wsc.school.nz,N/A,N/A
Unqualified teacher,Bear Park Herne Bay Early Childhood Education Centre,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBy-unqualified-teacher/,careers@bearpark.co.nz,N/A,N/A
Scale A teacher,Nelson Park School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBw-scale-a-teacher-permanent-full-time/,principal@nelsonpark.school.nz,N/A,N/A
Qualified teacher,Bear Park Henderson,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBv-qualified-teacher/,careers@bearpark.co.nz,N/A,N/A
Technology teacher,Heretaunga College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBu-technology-teacher/,vacancy@heretaunga.school.nz,N/A,N/A
Low brass itinerant music teacher,Glendowie College,"Part time, Fixed term, FTTE up to: 0.1, Start Date: 28/01/2026, End Date: 27/01/2027(Itinerant teacher subject to number of students.)",https://gazette.education.govt.nz/vacancies/1HAqBq-low-brass-itinerant-music-teacher/,won@gdc.school.nz,N/A,N/A
English teacher Y10-13,Elim Christian College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBp-english-teacher-years-10-13/,raewyn.openshaw@elim.school.nz,N/A,N/A
Scale A teacher positions,Tauranga Intermediate,"Full time, Fixed term, Start Date: 29/01/2026, End Date: 17/12/2026(Roll growth )",https://gazette.education.govt.nz/vacancies/1HAqBo-scale-a-teacher-positions/,mikeh@tauranga-int.school.nz,N/A,N/A
Scale A teacher,East Taieri School,"Part time, Fixed term, FTTE up to: 0.8, Start Date: 28/01/2026, End Date: 15/12/2026(To release a teacher for mathematics and literacy intervention programmes)",https://gazette.education.govt.nz/vacancies/1HAqBn-scale-a-teacher-fixed-term-part-time/,jennifer@east-taieri.school.nz,N/A,N/A
Unqualified teacher,Bear Park Early Childhood Centre,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBm-unqualified-teacher/,careers@bearpark.co.nz,N/A,N/A
Teacher of social sciences,Whangaparaoa College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBj-teacher-of-social-sciences/,ginnyca@wgpcollege.school.nz,N/A,N/A
Technology teacher,Albany Junior High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBh-technology-teacher/,vacancies@ajhs.school.nz,N/A,N/A
Technology teacher,Albany Junior High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBg-technology-teacher/,vacancies@ajhs.school.nz,N/A,N/A
Kaiako – social sciences,Nelson College For Girls,"Part time, Fixed term, FTTE up to: 0.6, Start Date: 28/01/2026, End Date: 27/01/2027(Cover recruitment process)",https://gazette.education.govt.nz/vacancies/1HAqBe-kaiako-social-sciences/,vacancies@ncg.school.nz,N/A,N/A
Scale A class teacher Y4-6,St Joseph's School (Orakei),"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBc-scale-a-class-teacher-year-4-6/,principal@sjorakei.school.nz,N/A,N/A
Careers advisor and social sciences Kaiako,Nelson College For Girls,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBd-careers-advisor-and-social-sciences-kaiako/,vacancies@ncg.school.nz,N/A,N/A
Teacher of English,Riccarton High School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqBb-teacher-of-english/,vacancy@riccarton.school.nz,N/A,N/A
New entrant teacher (Y0-1),Silverstream School,"Full time, Fixed term, Start Date: 20/04/2026, End Date: 16/12/2026(Roll growth new entrant class)",https://gazette.education.govt.nz/vacancies/1HAqBW-new-entrant-teacher-yr-0-1/,lorraine.taylor-tams@silversteam.school.nz,N/A,N/A
Intervention teacher for mathematics and/or literacy,Te Kura o Te Mātāpuna Isleworth School,"Part time, Fixed term, FTTE up to: 0.6, Start Date: 26/01/2026, End Date: 17/12/2026(Intervention teacher for mathematics and/or literacy)",https://gazette.education.govt.nz/vacancies/1HAqB_-fixed-term-intervention-teacher-for-mathematics-andor-literacy/,michael.davidson@isleworth.school.nz,N/A,N/A
Y1 new entrant teacher,Matua Ngaru School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 15/12/2026(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqBZ-year-1-new-entrant-teacher/,aculverwell@matuangaru.school.nz,N/A,N/A
Scale A teacher,Our Lady Star of the Sea School (Howick),"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBV-scale-a-teacher/,syandell@starofthesea.school.nz,N/A,N/A
Head teacher - three to school aged tamariki,Kiwi Kids Preschool,"Part time, Permanent, FTTE up to: 0.8",https://gazette.education.govt.nz/vacancies/1HAqBU-head-teacher-three-to-school-aged-tamariki/,manager@kiwikids.org.nz,N/A,N/A
Teacher of music,Whangaparaoa College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBS-teacher-of-music/,ginnyca@wgpcollege.school.nz,N/A,N/A
Classroom kaiako,Waihi Beach School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBQ-permanent-classroom-kaiako/,appointments@waihibeach.school.nz,N/A,N/A
Business economics teacher,Macleans College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBP-business-economics-teacher/,applications@macleans.school.nz,N/A,N/A
Scale A teacher,Seddon School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 16/12/2026(Special project )",https://gazette.education.govt.nz/vacancies/1HAqBN-scale-a-teacher-fixed-term-full-time/,principal@seddon.school.nz,N/A,N/A
Social science teacher / Kaiako 0.6,Taupo-nui-a-Tia College,"Part time, Permanent, FTTE up to: 0.6",https://gazette.education.govt.nz/vacancies/1HAqBM-social-science-teacherkaiako/,tammy.gower@taupocollege.ac.nz,N/A,N/A
Resource Teacher of the Deaf - South Canterbury,Ko Taku Reo - Deaf Education New Zealand,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBL-resource-teacher-of-the-deaf-south-canterbury/,char.hewison@kotakureo.school.nz,N/A,N/A
Kaiako for our Māori Medium (Level 1) Akomanga,Marton Junction School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBJ-kaiako-for-our-maori-medium-level-1-akomanga/,vacancy@martonjunction.school.nz,N/A,N/A
Scale teacher,Grovetown School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBH-scale-teacher/,principal@grovetown.school.nz,N/A,N/A
Technology teacher / Kaiako,Taupo-nui-a-Tia College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBK-technology-teacherkaiako/,tammy.gower@taupocollege.ac.nz,N/A,N/A
Mathematics / technology teacher / Kaiako,Taupo-nui-a-Tia College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBG-mathematicstechnology-teacherkaiako/,tammy.gower@taupocollege.ac.nz,N/A,N/A
PE & health teacher,Green Bay High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBF-pe-and-health-teacher/,recruitment@greenbayhigh.school.nz,N/A,N/A
Scale A - Y5–6 teacher,Renwick School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqBD-permanent-scale-a-y56-teacher/,principal@renwick.school.nz,N/A,N/A
Scale A teacher,Riverview School,"Full time, Fixed term, Start Date: 02/02/2026, End Date: 16/12/2026(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqBC-scale-a-teacher-fixed-term/,principal@riverview.school.nz,N/A,N/A
Classroom teacher,Ashburton Intermediate,"Full time, Fixed term, Start Date: 27/01/2026, End Date: 18/12/2026(Project release)",https://gazette.education.govt.nz/vacancies/1HAqBA-classroom-teacher/,bgray@ashinter.school.nz,N/A,N/A
Senior teacher,Christchurch South Karamata Intermediate School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqB8-permanent-senior-teacher-1-pu-and-1-ftu/,principal@chchsouth.ac.nz,N/A,N/A
Classroom teacher,Auckland Normal Intermediate,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqB7-classroom-teacher/,lsheweiry@ani.school.nz,N/A,N/A
Infant teacher,"Brightlands Childcare Centre, Vickery Street","Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqB4-looking-for-a-superstar-infant-teacher/,hr.brightlands@gmail.com,N/A,N/A
Wood technology teacher,Avalon Intermediate,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqB3-wood-technology-teacher/,principal@ais.school.nz,N/A,N/A
Classroom teacher,Durie Hill School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqB2-classroom-teacher/,sheenas@duriehill.school.nz,N/A,N/A
"Y6, 7 or 8 teacher",Kadimah School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqB1-year-6-7-or-8-teacher/,suem@kadimah.school.nz,N/A,N/A
New entrant Kaiako,Pyes Pa Road School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqB0-passionate-new-entrant-kaiako/,vacancies@pyespa.school.nz,N/A,N/A
Teacher of science,Massey High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqAy-teacher-of-science/,ecurtis@masseyhigh.school.nz,N/A,N/A
"Tuakana Kaiako, Reorua",Koromatua School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 25/09/2026(Study leave)",https://gazette.education.govt.nz/vacancies/1HAqAw-tuakana-kaiako-full-time-fixed-term-reorua/,estam@koromatua.school.nz,N/A,N/A
Phase Two Faiaoga (Y4-5),Sir Edmund Hillary Collegiate Junior School,"Full time, Fixed term, Start Date: 19/01/2026, End Date: 11/12/2026(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqAv-phase-two-faiaoga-year-4-5/,vvaoiva@sehc.school.nz,N/A,N/A
Kaiako Kōkiri Ngā Toi,Wellington High School and Com Ed Centre,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqAu-kaiako-kokiri-nga-toi/,vacancies@whs.school.nz,N/A,N/A
Kaiako position,Maunganui Kindergarten,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqAt-kaiako-position-maunganui-all-day-kindergarten/,office@ikindergartens.nz,N/A,N/A
Teacher of art (specialist in photography and design),Burnside High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqAn-teacher-of-art-specialist-in-photography-and-design/,vacancies@burnside.school.nz,N/A,N/A
Scale A classroom kaiako,Stanmore Bay School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqAj-scale-a-classroom-kaiako/,vacancies@stanmore.school.nz,N/A,N/A
Potiki (junior) Kaiako,Koromatua School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 11/12/2026(Roll growth )",https://gazette.education.govt.nz/vacancies/1HAqAh-potiki-junior-kaiako-full-time-fixed-term/,estam@koromatua.school.nz,N/A,N/A
Teachers (3 positions),Naenae Intermediate,"Full time, Fixed term, Start Date: 26/01/2026, End Date: 25/01/2027(Board funded positions)",https://gazette.education.govt.nz/vacancies/1HAqAe-fixed-term-teaching-positions-several-starting-january-2026/,principal@naenaeint.school.nz,N/A,N/A
Scale A teachers (several positions),West Melton School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqAc-permanent-teaching-positions/,vacancy@westmelton.school.nz,N/A,N/A
Ashburton/Mid Canterbury health school teacher 0.6,Southern Health School,"Part time, Permanent, FTTE up to: 0.6",https://gazette.education.govt.nz/vacancies/1HAqAb-ashburtonmid-canterbury-health-school-teacher-0-6-permanent/,principal@southernhealth.school.nz,N/A,N/A
Timaru/South Canterbury health school teacher 0.6,Southern Health School,"Part time, Permanent, FTTE up to: 0.6",https://gazette.education.govt.nz/vacancies/1HAqAa-timarusouth-canterbury-health-school-teacher-0-6-permanent/,principal@southernhealth.school.nz,N/A,N/A
Classroom release teacher 0.7 FTTE,The Terrace School (Waipukurau),"Part time, Permanent, FTTE up to: 0.7",https://gazette.education.govt.nz/vacancies/1HAqA_-classroom-release-teacher-0-7-ftte/,principal@terracechb.school.nz,N/A,N/A
Teacher,St Joseph's School (Pukekohe),"Full time, Fixed term, Start Date: 28/01/2026, End Date: 15/12/2026(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqAY-teacher-fixed-term-full-time/,principal@stjosephs.co.nz,N/A,N/A
Kaiako - mathematics,Te Aho o Te Kura Pounamu,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqAX-kaiako-mathematics/,Mere.Davis@tekura.school.nz,N/A,N/A
Drama teacher,Diocesan School For Girls,"Part time, Fixed term, FTTE up to: 0.3, Start Date: 19/01/2026, End Date: 27/01/2027(To cover an increase in student numbers in a subject area.)",https://gazette.education.govt.nz/vacancies/1HAqAW-drama-teacher/,recruitment@diocesan.school.nz,N/A,N/A
Learning support co-ordinator,Masterton Intermediate,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqAV-learning-support-co-ordinator/,principal@mis.school.nz,N/A,N/A
Scale A classroom teacher Y1,Hinds School,"Full time, Fixed term, Start Date: 20/04/2026, End Date: 27/01/2027(Maternity leave )",https://gazette.education.govt.nz/vacancies/1HAqAU-classroom-teacher-y1/,principal@hinds.school.nz,N/A,N/A
