Title;Employer;Employment Type;Link;Email;Contact Text;Description;;
Teacher of hard materials;Queen Charlotte College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqgX-teacher-of-hard-materials/;jodonnell@qcc.school.nz;N/A;N/A;;
Y5–6 teacher;Bay of Islands International Academy;Full time, Fixed term, Start Date: 28/01/2026, End Date: 03/04/2026(Principal release);https://gazette.education.govt.nz/vacancies/1HAqgU-y5-6-teacher/;principal@boi.ac.nz;N/A;N/A;;
Classroom teacher;Albany School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqg7-classroom-teacher/;lelder@albany.school.nz;N/A;N/A;;
Kindergarten teacher;Kristin School Kindergarten;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqg6-kindergarten-teacher/;abrowne@kristin.school.nz;N/A;N/A;;
Registered teacher;Montessori Blenheim;Full time, Fixed term, Start Date: 05/01/2026, End Date: 18/12/2026(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAqg5-join-our-warm-team/;rachel@montessoriblenheim.co.nz;N/A;N/A;;
Team leader Y5 – 2026;Wakaaranga School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqg4-team-leader-year-5-2026/;west@wakaaranga.school.nz;N/A;N/A;;
Mathematics / biology teacher;Rudolf Steiner School (Chch);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqg3-mathematics-biology-teacher/;tumuaki@ch.steiner.school.nz;N/A;N/A;;
Samoan language teacher;St Patrick's College (Kilbirnie);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqg2-samoan-language-teacher/;gerardine.parkinson@stpats.school.nz;N/A;N/A;;
Y1 Kaiako;Point Chevalier School Rangi-mata-rau;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqgQ-year-1-teacher/;executiveofficer@ptchev.school.nz;N/A;N/A;;
Social science teacher;Ōtūmoetai College;Part time, Fixed term, FTTE up to: 0.5, Start Date: 28/01/2026, End Date: 27/01/2027(To cover teacher release time);https://gazette.education.govt.nz/vacancies/1HAqgN-social-science-teacher-10-hours-per-week/;recruitment@otc.school.nz;N/A;N/A;;
Phase 2 teacher;Te Matauranga;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqgM-phase-23-teacher/;jane@tms.school.nz;N/A;N/A;;
Y7–8 teacher - Hamilton Campus;OneSchool Global - New Zealand;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqgh-y78-teacher-hamilton-campus/;recruitment@nz.oneschoolglobal.com;N/A;N/A;;
Teacher-in-charge geography;Otago Boys' High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqgL-teacher-in-charge-geography/;rector@obhs.school.nz;N/A;N/A;;
Y6–7 primary classroom teacher;Hurunui College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqgJ-year-67-primary-classroom-teacher/;principal@hurunuicollege.school.nz;N/A;N/A;;
Teacher of junior subjects;Te Kamo High School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 14/12/2026(Special project);https://gazette.education.govt.nz/vacancies/1HAqgF-teacher/;jobs@kamohigh.school.nz;N/A;N/A;;
Kaiako Māraurau | Teacher - Fordlands;Central Kids Kindergartens - Fordlands;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqgC-kaiako-maraurau-teacher-fordlands/;hayley.brindle@centralkids.org.nz;N/A;N/A;;
Kaiako Te reo Māori; Mātauranga Māori & Kapa haka;Diocesan School For Girls;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqgA-kaiako-te-reo-maori-matauranga-maori-and-kapa-haka/;recruitment@diocesan.school.nz;N/A;N/A;
Classroom teacher Y7–8;Mt Roskill Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqg9-classroom-teacher-year-78/;slt@mri.school.nz;N/A;N/A;;
Y9-10 teacher;Kāpiti College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqg1-yr-9-core-teacher/;jobs@kc.school.nz;N/A;N/A;;
Classroom practitioner - Teen Parent Unit;Stratford High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqg0-classroom-practitioner-teen-parent-unit/;joe.mack@stratfordhigh.school.nz;N/A;N/A;;
Commerce & history teacher;Wellington College;Full time, Fixed term, Start Date: 26/01/2026, End Date: 27/01/2027(Staff working on projects);https://gazette.education.govt.nz/vacancies/1HAqfz-commerce-and-history-teacher-fixed-term-full-time/;k.burn@wc.school.nz;N/A;N/A;;
Head teacher;Young and Amazing Limited;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfy-head-teacher/;marie@youngandamazing.co.nz;N/A;N/A;;
Y4 classroom teacher;Takanini School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfw-year-4-classroom-teacher-permanent-and-full-time/;recruitment@takanini.school.nz;N/A;N/A;;
Qualified Kaiako - All age groups;Kiwi Supertots Learning Centre, Botany;Full time, Fixed term, Start Date: 01/12/2025, End Date: 30/06/2026(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAqfv-qualified-kaiako-all-age-groups/;jobs@kiwisupertots.co.nz;N/A;N/A;;
Kaiako Y7–8;Te Kura Waenga O Rutherford | Rutherford Intermediate School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 10/12/2026(Special project );https://gazette.education.govt.nz/vacancies/1HAqft-kaiako-y78/;office@rutherford.ac.nz;N/A;N/A;;
Scale A teacher  Y4-6;Maangere Bridge School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfr-scale-a-teacher-position-years-4-6/;Bernicem@mangerebridge.school.nz;N/A;N/A;;
Scale A classroom teacher Y5–6;Owairoa Primary School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfq-scale-a-classroom-teacher-year-56/;jane@owairoa.school.nz;N/A;N/A;;
Scale A classroom teacher Y2;Owairoa Primary School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfp-scale-a-classroom-teacher-year-2/;jane@owairoa.school.nz;N/A;N/A;;
Teacher-in-training  infants & toddlers;Small Steps ECE Centre;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfm-teacher-in-training-infants-and-toddlers-36hrs/;smallsteps@xtra.co.nz;N/A;N/A;;
Primary teacher;The Catlins Area School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfj-primary-teacher/;taniab@catlins.school.nz;N/A;N/A;;
CRT teacher release and specialised subject teacher 0.4;Titahi Bay Intermediate;Part time, Fixed term, FTTE up to: 0.4, Start Date: 27/01/2026, End Date: 16/12/2026(CRT and specialised subject teaching);https://gazette.education.govt.nz/vacancies/1HAqfe-crt-teacher-release-and-specialised-subject-teacher/;principal@bayintermediate.school.nz;N/A;N/A;;
Nursery teacher;The Stables Montessori;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfd-nursery-teacher-halswell-commons-30-to-35-hours-pw/;hr@stablesmontessori.co.nz;N/A;N/A;;
Economics and business studies teacher;St Andrew's College (Christchurch);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfc-economics-and-business-studies-teacher-full-time-permanent/;eva@stac.school.nz;N/A;N/A;;
Special needs outreach teachers;Mt Richmond School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfb-special-needs-outreach-teachers/;admin@mtr.school.nz;N/A;N/A;;
Acceleration support teacher 1.0FTTE;Somerville Intermediate School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfZ-acceleration-support-teacher/;lbaxter@somint.school.nz;N/A;N/A;;
Mandarin teacher;Macleans College;Part time, Permanent, FTTE up to: 0.4;https://gazette.education.govt.nz/vacancies/1HAqfY-mandarin-teacher/;applications@macleans.school.nz;N/A;N/A;;
Teacher of social science / English 2026;Putāruru College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfX-teacher-of-social-science-english-2026/;office@putarurucollege.school.nz;N/A;N/A;;
Learning support coordinator;Conifer Grove School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfW-learning-support-coordinator/;admin@cgschool.ac.nz;N/A;N/A;;
Kaiako - Scale A teacher;Whangarei Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfU-kaiako-scale-a-teacher/;admin@wis.ac.nz;N/A;N/A;;
Scale A teacher for 2026;Henderson Intermediate;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Roll growth);https://gazette.education.govt.nz/vacancies/1HAqfS-scale-a-teacher-for-2026/;hisbot@hendersonint.school.nz;N/A;N/A;;
Health and PE teacher;Papanui High School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 15/12/2026(Staff member with extra responsibilities);https://gazette.education.govt.nz/vacancies/1HAqfR-health-and-pe/;wmj@papanui.school.nz;N/A;N/A;;
Humanities / occupations teacher (Y8-10);Wā Ora Montessori;Part time, Fixed term, FTTE up to: 0.3, Start Date: 28/01/2026, End Date: 11/12/2026(Cover for medical leave);https://gazette.education.govt.nz/vacancies/1HAqfQ-fixed-term-part-time-humanitiesoccupations-teacher-yr8-10/;joanne@waora.school.nz;N/A;N/A;;
Teacher of information technology with possible leadership opportunities;Hamilton Boys' High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfP-teacher-of-information-technology-with-possible-leadership-opportunities/;applications@hbhs.school.nz;N/A;N/A;;
Teacher specialist school;Wilson School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfi-teacher-specialist-school/;office@wilson.school.nz;N/A;N/A;;
Specialist teacher ORS;Heretaunga College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfN-specialist-teacher-ors/;vacancy@heretaunga.school.nz;N/A;N/A;;
Teacher of history and social studies;Epsom Girls Grammar School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Uncertainty over student numbers);https://gazette.education.govt.nz/vacancies/1HAqfM-teacher-of-history-and-social-studies/;employment@eggs.school.nz;N/A;N/A;;
Teacher - senior school;Mountview School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfK-teacher-senior-school/;info@mountview.school.nz;N/A;N/A;;
Teacher of social studies;Epsom Girls Grammar School;Part time, Fixed term, FTTE up to: 0.4, Start Date: 28/01/2026, End Date: 27/01/2027(Fluctuation in senior option hours);https://gazette.education.govt.nz/vacancies/1HAqfJ-teacher-of-social-studies/;employment@eggs.school.nz;N/A;N/A;;
Teacher of PE;Burnside High School;Part time, Fixed term, FTTE up to: 0.1, Start Date: 26/01/2026, End Date: 10/12/2026(To cover other roles);https://gazette.education.govt.nz/vacancies/1HAqfG-teacher-of-pe/;vacancies@burnside.school.nz;N/A;N/A;;
Science teacher – physics;Westlake Boys High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfF-science-teacher-physics/;hr@westlake.school.nz;N/A;N/A;;
Specialist ORS teacher;Te Kura Whakatipu o Kawarau;Part time, Permanent, FTTE up to: 0.8;https://gazette.education.govt.nz/vacancies/1HAqfE-specialist-ors-teacher/;jessical@kawarau.school.nz;N/A;N/A;;
Learning support coordinator;Galatea School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqfD-learning-support-coordinator/;principal@lakerere.school.nz;N/A;N/A;;
Kaiako;Te Wharekura o Maniapoto;Full time, Long-term relieving (LTR), Start Date: 28/01/2026(Study leave);https://gazette.education.govt.nz/vacancies/1HAqfC-long-term-reliever-full-time-fixed-term/;tumuaki@maniapoto.school.nz;N/A;N/A;;
Inclusive learning teacher;Te Kura Whakatipu o Kawarau;Part time, Permanent, FTTE up to: 0.8;https://gazette.education.govt.nz/vacancies/1HAqfB-inclusive-learning-teacher/;jessical@kawarau.school.nz;N/A;N/A;;
Teacher;Pukeatua Primary School (Wainuiomata);Full time, Fixed term, Start Date: 22/01/2026, End Date: 16/12/2026(Release for a specific project);https://gazette.education.govt.nz/vacancies/1HAqfA-fixed-term-teacher-position-special-project-release/;kerryl@pukeatua.school.nz;N/A;N/A;;
Te reo Māori kaiako;Wesley College;Full time, Fixed term, Start Date: 27/01/2026, End Date: 11/12/2026(Study award);https://gazette.education.govt.nz/vacancies/1HAqf8-te-reo-maaori-kaiako/;cwood@wesley.school.nz;N/A;N/A;;
Y1–8 teachers (2 positions);Pukeatua Primary School (Wainuiomata);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqf7-full-time-years-1-8-permanent-x2/;kerryl@pukeatua.school.nz;N/A;N/A;;
Kaiako Tau 7–8;Te Wharekura o Maniapoto;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqf6-kaiako-tau-7-and-8-full-time-permanent/;tumuaki@maniapoto.school.nz;N/A;N/A;;
English teacher;Marist College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqf4-english-teacher/;employment@maristcollege.school.nz;N/A;N/A;;
Science teacher;Feilding High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqf3-science-teacher/;vacancy@feildinghigh.school.nz;N/A;N/A;;
Religious education teacher;Marist College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqf2-religious-education-teacher/;employment@maristcollege.school.nz;N/A;N/A;;
Teacher of mathematics;Rolleston College;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAqf1-teacher-of-mathematics-fixed-term/;recruitment@rollestoncollege.nz;N/A;N/A;;
Scale A specialist teacher Y0–6;Merrin School Ngā Whetū Kohara;Part time, Fixed term, FTTE up to: 0.8, Start Date: 28/11/2025, End Date: 11/12/2026(Conditional on a fixed term funding model);https://gazette.education.govt.nz/vacancies/1HAqf0-scale-a-specialist-teacher-0-8-ftte-year-0-6/;pa@merrin.school.nz;N/A;N/A;;
Kaiako – science;Te Aho o Te Kura Pounamu;Full time, Fixed term, Start Date: 29/01/2026, End Date: 11/12/2026(Roll growth in region);https://gazette.education.govt.nz/vacancies/1HAqez-kaiako-science/;ray.edwards@tekura.school.nz;N/A;N/A;;
Teacher of mathematics;Rolleston College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqex-teacher-of-mathematics-2/;recruitment@rollestoncollege.nz;N/A;N/A;;
Kaiako/teacher;Te Matauru Primary;Full time, Fixed term, Start Date: 28/01/2026, End Date: 17/12/2026(Roll growth project);https://gazette.education.govt.nz/vacancies/1HAqey-kaiakoteacher-full-time-fixed-term/;principal@tematauru.school.nz;N/A;N/A;;
Kaiako – primary;Te Aho o Te Kura Pounamu;Full time, Fixed term, Start Date: 29/01/2026, End Date: 11/12/2026(Projected roll growth);https://gazette.education.govt.nz/vacancies/1HAqev-kaiako-primary/;Anil.Singh@tekural.school.nz;N/A;N/A;;
Visual art teacher;Taihape Area School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqeu-visual-art-teacher/;office@tas.school.nz;N/A;N/A;;
Primary teacher Y4–6;Bethlehem College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqet-primary-teacher-years-4-6-permanent-full-time/;karen.miller@beth.school.nz;N/A;N/A;;
Kaiako;Kidsfirst Kindergartens Wakatipu;Full time, Fixed term, Start Date: 19/01/2026, End Date: 18/12/2026(Covering for a kaiako relieving in another position);https://gazette.education.govt.nz/vacancies/1HAqes-kaiako/;careers@kidsfirst.org.nz;N/A;N/A;;
English & social studies teacher;Dargaville High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqer-english-and-social-studies-teacher/;ascott@darghigh.school.nz;N/A;N/A;;
Digital technology teacher;Te Kuiti High School;Full time, Fixed term, Start Date: 27/01/2026, End Date: 14/12/2026(Refreshment leave);https://gazette.education.govt.nz/vacancies/1HAqeq-digital-technology-teacher/;gw@tkhs.school.nz;N/A;N/A;;
Scale A teacher;Manawaru School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqep-scale-a-teacher-2/;principal@manawaru.school.nz;N/A;N/A;;
Hard materials & construction technology teacher;Taipa Area School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqef-hard-materials-and-construction-technology/;zinnias@taipa.school.nz;N/A;N/A;;
Y7 classroom teacher;Remuera Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqeo-year-7-classroom-teacher/;admin@remint.school.nz;N/A;N/A;;
Kaiako;Te Kura o Waitahanui;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqek-kaiako/;aroha.wall-mcmahon@waitahanui.school.nz;N/A;N/A;;
Scale A classroom teacher;Motu School;Part time, Permanent, FTTE up to: 0.4;https://gazette.education.govt.nz/vacancies/1HAqei-scale-a-classroom-teacher-0-4-ftte/;principal@motu.school.nz;N/A;N/A;;
Y2–3 teacher;Clayton Park School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqeg-year-23-teacher/;jolenem@claytonpark.school.nz;N/A;N/A;;
ORS specialist teacher – 0.60 FTE;Aurora College;Part time, Fixed term, FTTE up to: 0.6, Start Date: 28/01/2026, End Date: 27/01/2027(Enrolment based);https://gazette.education.govt.nz/vacancies/1HAqee-ors-specialist-teacher-0-60fte/;lfairbairn@auroracollege.school.nz;N/A;N/A;;
Kaiako / classroom teacher;Te Kura Whakatipu o Kawarau;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqed-kaiako-classroom-teacher-2026/;tania@kawarau.school.nz;N/A;N/A;;
English teacher;Hutt Valley High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqeb-english-teacher-full-time-permanent/;office@hvhs.school.nz;N/A;N/A;;
Early intervention teacher;Conductive Education Canterbury Inc;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqea-early-intervention-teacher/;linda@cecanterbury.org;N/A;N/A;;
Teacher of technology / trades hard materials;Te Kamo High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqeZ-teacher-of-technology-trades-hard-materials/;jobs@kamohigh.school.nz;N/A;N/A;;
Teacher-in-charge – mathematics;Manawatū College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqeX-teacher-in-charge-mathematics/;depetersen@manawatucollege.school.nz;N/A;N/A;;
Mathematics teacher;Mangere College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqeW-mathematics-teacher/;principal@mangerecollege.school.nz;N/A;N/A;;
Teacher of physical education/health Y7–13;Akaroa Area School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqeV-teacher-of-physical-education-health-years-7-13/;vmcintyre@akaroa.school.nz;N/A;N/A;;
Experienced infants kaiako;Learning Links Childcare Hector Drive;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqeR-experienced-infants-kaiako/;rachel@learninglinkschildcare.co.nz;N/A;N/A;;
History / commerce teacher;James Cook High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqeP-history-social-sciences-teacher-permanent/;a.alasadi@jchs.school.nz;N/A;N/A;;
English teacher;Rototuna Senior High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqeM-english-teacher/;jobs@rhs.school.nz;N/A;N/A;;
Teacher;Pukenui School (Kaitaia);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqeK-full-time-permanent-position-start-date-02022026/;louise@pukenuischool.ac.nz;N/A;N/A;;
Y8–10 teacher (intermediate/junior high school);Wā Ora Montessori;Part time, Fixed term, FTTE up to: 0.2, Start Date: 28/01/2026, End Date: 11/12/2026(Cover for medical leave);https://gazette.education.govt.nz/vacancies/1HAqeJ-fixed-term-part-time-yr8-10-teacher-intermediatejunior-high-school/;joanne@waora.school.nz;N/A;N/A;;
Teacher;Pukenui School (Kaitaia);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqeH-full-time-permanent-position-start-date-02022026/;louise@pukenuischool.ac.nz;N/A;N/A;;
Physics teacher Y8–13;Wā Ora Montessori;Part time, Permanent, FTTE up to: 0.6;https://gazette.education.govt.nz/vacancies/1HAqeG-permanent-part-time-physics-teacher-yr8-13/;joanne@waora.school.nz;N/A;N/A;;
Kaiako kaiārahi at Te Pārekereke O Te Kī;Otago University Childcare Association - Te Pā;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqeF-kaiako-kaiarahi-at-te-parekereke-o-te-ki/;ouca.manager@otago.ac.nz;N/A;N/A;;
Learning support coordinator/SENCO;Tua Marina School;Part time, Permanent, FTTE up to: 0.5;https://gazette.education.govt.nz/vacancies/1HAqeD-learning-support-coordinatorsenco/;principal@tuamarina.school.nz;N/A;N/A;;
CRT release and specialised subject teacher Y7–8;Titahi Bay Intermediate;Full time, Fixed term, Start Date: 27/01/2026, End Date: 16/12/2026(CRT and specialised subject teaching);https://gazette.education.govt.nz/vacancies/1HAqeB-crt-release-and-specialised-subject-teacher-yr-78/;principal@bayintermediate.school.nz;N/A;N/A;;
English teacher;Paeroa College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqeA-english-teacher/;office@paeroacollege.school.nz;N/A;N/A;;
Teachers (2 positions);Howick Primary School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqe9-join-our-team-at-howick-primary-school/;m.smith@howickprimary.school.nz;N/A;N/A;;
Kaiako Y1–10 – Hamilton; Rotorua or Tauranga;Te Aho o Te Kura Pounamu;Full time, Fixed term, Start Date: 29/01/2026, End Date: 11/12/2026(Projected roll growth);https://gazette.education.govt.nz/vacancies/1HAqe6-kaiako-years-1-10-hamilton-rotorua-or-tauranga/;Mere.Davis@tekura.school.nz;N/A;N/A;
Hard materials technology teacher;Mt Aspiring College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqe5-hard-materials-technology-teacher/;jobs@mtaspiring.school.nz;N/A;N/A;;
Teacher – Starship Unit;Northern Health School;Part time, Permanent, FTTE up to: 0.8;https://gazette.education.govt.nz/vacancies/1HAqe2-teacher-starship-unit/;employment@nhs.school.nz;N/A;N/A;;
Kaiako Y1–10 – based in Hamilton; Rotorua or Tauranga;Te Aho o Te Kura Pounamu;Full time, Fixed term, Start Date: 29/01/2026, End Date: 11/12/2026(Projected ākonga numbers);https://gazette.education.govt.nz/vacancies/1HAqe1-kaiako-years-1-10-based-in-hamilton-rotorua-or-tauranga/;Mere.Davis@tekura.school.nz;N/A;N/A;
New entrant junior teacher;Argyll East School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqe4-new-entrant-junior-teacher/;principal@argylleast.school.nz;N/A;N/A;;
Teacher – Starship Unit;Northern Health School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqe0-teacher-starship-unit/;employment@nhs.school.nz;N/A;N/A;;
Registered infant teacher;Hand and Hand Early Learning Centre - Hobsonville;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqdo-registered-infant-teacher/;hobsonville@handandhand.co.nz;N/A;N/A;;
Teacher junior school;Appleby School;Part time, Fixed term, FTTE up to: 0.5, Start Date: 03/02/2026, End Date: 15/12/2027(Release for SLA & SMPA teacher);https://gazette.education.govt.nz/vacancies/1HAqdn-fixed-term-part-time-teacher-junior-school/;admin@appleby.school.nz;N/A;N/A;;
0.6 middle school teacher;Dannevirke South School;Part time, Fixed term, FTTE up to: 0.6, Start Date: 02/02/2026, End Date: 15/12/2026(Covering the role while we recruit permanently);https://gazette.education.govt.nz/vacancies/1HAqdm-0-6-middle-school-teacher-wanted/;principal@dannevirkesouth.school.nz;N/A;N/A;;
Music teacher;Baradene College;Part time, Fixed term, FTTE up to: 0.7, Start Date: 20/04/2026, End Date: 30/10/2026(Leave cover);https://gazette.education.govt.nz/vacancies/1HAqdy-music-teacher-fixed-term-part-time/;employment@baradene.school.nz;N/A;N/A;;
Literacy support teacher (SLA);Glenview School (Hamilton);Part time, Fixed term, FTTE up to: 0.6, Start Date: 28/01/2026, End Date: 15/12/2026(Ministry funded position);https://gazette.education.govt.nz/vacancies/1HAqdk-literacy-support-teacher-sla/;vacancy@glenview.school.nz;N/A;N/A;;
Infant and toddler kaiako;Junior Junction;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqdi-infant-and-toddler-kaiako/;hamilton@juniorjunction.co.nz;N/A;N/A;;
Steiner Kindergarten teacher – growing together on beautiful Waiheke;Fossil Bay Kindergarten;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqcu-steiner-kindergarten-teacher-growing-together-on-beautiful-waiheke/;management@fossilbay.co.nz;N/A;N/A;;
Classroom teacher (2 positions);Maramarua School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqdx-classroom-teacher-2-positions-available/;michellevs@maramarua.school.nz;N/A;N/A;;
Y7–8 classroom teacher;Pakuranga Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqdw-yr-78-classroom-teacher/;johnston@pakurangaint.school.nz;N/A;N/A;;
Y7–8 classroom teacher;Pakuranga Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqdv-year-78-classroom-teacher/;johnston@pakurangaint.school.nz;N/A;N/A;;
Kaiako / teacher;Ararira Springs Primary- Te Puna o Ararira;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqds-kaiako-teacher/;vacancies@ararira.school.nz;N/A;N/A;;
Assistant head of learning support;Heretaunga College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqdj-assistant-head-of-learning-support/;vacancy@heretaunga.school.nz;N/A;N/A;;
Maths and homeroom teacher;Ponsonby Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqdr-maths-and-homeroom-teacher/;rebeccas@ponsint.school.nz;N/A;N/A;;
New entrant / Y1 teacher & leadership role;St Thomas More Catholic School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqdq-new-entrant-year-1-teacher-and-leadership-role/;lbroadmore@stm.school.nz;N/A;N/A;;
Multilevel teacher;Waitoriki School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqdp-rural-multilevel-teacher/;principal@waitoriki.school.nz;N/A;N/A;;
Learning support coordinator;St Teresa's School (Riccarton);Part time, Permanent, FTTE up to: 0.3;https://gazette.education.govt.nz/vacancies/1HAqdT-learning-support-coordinator/;applications@stteresas.school.nz;N/A;N/A;;
Teacher of senior biology;Chilton Saint James School;Part time, Fixed term, FTTE up to: 0.4, Start Date: 28/01/2026, End Date: 04/12/2026(Subject demand);https://gazette.education.govt.nz/vacancies/1HAqWk-part-time-teacher-of-senior-biology/;execsupport@chilton.school.nz;N/A;N/A;;
Learning support coordinator (LSC);Tauwhare School;Part time, Permanent, FTTE up to: 0.2;https://gazette.education.govt.nz/vacancies/1HAqdh-learning-support-coordinator-lsc-0-2-ftte/;principal@tauwhare.school.nz;N/A;N/A;;
Y4 and 6 teacher;Tauwhare School;Part time, Fixed term, FTTE up to: 0.7, Start Date: 28/01/2026, End Date: 27/01/2027(Project initiative);https://gazette.education.govt.nz/vacancies/1HAqdf-0-7-ftte-fixed-term-for-2026-year-4-and-6/;principal@tauwhare.school.nz;N/A;N/A;;
Y2 teacher;Tauwhare School;Part time, Fixed term, FTTE up to: 0.3, Start Date: 28/01/2026, End Date: 27/01/2027(Project initiative);https://gazette.education.govt.nz/vacancies/1HAqdc-fixed-term-0-3-ftte-year-2/;principal@tauwhare.school.nz;N/A;N/A;;
Head of learning support;Aotea College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqdb-head-of-learning-support/;aln@aotea.school.nz;N/A;N/A;;
Learning support coordinator;Glenview School (Hamilton);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqda-learning-support-coordinator/;vacancy@glenview.school.nz;N/A;N/A;;
Head of learning support;Heretaunga College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqdZ-head-of-learning-support/;vacancy@heretaunga.school.nz;N/A;N/A;;
