Title,Employer,Employment Type,Link,Email,Contact Text,Description
0.6 release teacher,Norsewood and Districts School,"Part time, Fixed term, FTTE up to: 0.6, Start Date: 04/02/2026, End Date: 17/12/2026(Release teacher)",https://gazette.education.govt.nz/vacancies/1HAqkR-6-release-teacher-fixed-term/,principal@norsewood.school.nz,N/A,"Parkvale School Hawke's Bay Specialist teacher (literacy OR numeracy) Part time, Fixed term, FTTE up to: 0.6, Start Date: 28/01/2026, End Date: 27/01/2027 (Special project) Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed today 2:03 pm 01 December 2025 Closes 09 December 2025 Reference #: 1HAqpV Full details"
English teacher,New Plymouth Girls' High School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 11/12/2026(Cover refreshment leave)",https://gazette.education.govt.nz/vacancies/1HAqkQ-english-teacher/,recruitment@npghs.school.nz,N/A,"Lynfield College Auckland English teacher Full time, Fixed term, Start Date: 27/01/2026, End Date: 28/01/2027 (Increase in student numbers) Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:16 pm 01 December 2025 Closes 12.00 noon 08 December 2025 Reference #: 1HAqpi Full details"
School teacher (Y1-8) primary school,KingsWay School,"Part time, Fixed term, FTTE up to: 0.2, Start Date: 28/01/2026, End Date: 10/12/2026(Flexible working arrangement)",https://gazette.education.govt.nz/vacancies/1HAqkM-kingsway-school-teacher-years-1-8-primary-school-fixed-term/,hr@kingsway.school.nz,N/A,"Rosehill Intermediate Auckland Learning support coordinator (LSC) Part time, Fixed term, FTTE up to: 0.8, Start Date: 28/01/2026, End Date: 16/12/2026 (New position LSC) Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 8:49 am 28 November 2025 Closes 3pm 05 December 2025 Reference #: 1HAqnF Full details"
Mathematics and social sciences teacher,Whakatane High School,"Part time, Permanent, FTTE up to: 0.8",https://gazette.education.govt.nz/vacancies/1HAqkK-mathematics-and-social-sciences-teacher/,admin@whakatanehigh.school.nz,N/A,"St Andrews Middle School Waikato Y7–10 classroom release teacher Part time, Permanent, FTTE up to: 0.8 Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed 10:59 am 20 November 2025 Closes 3pm 05 December 2025 Reference #: 1HAqcU Full details"
Construction teacher,Whakatane High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqkJ-construction-teacher/,admin@whakatanehigh.school.nz,N/A,"Spotswood College Taranaki Special education teacher Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed today 2:46 pm 01 December 2025 Closes 12 noon 15 December 2025 Reference #: 1HAqpc Full details"
Y6 teacher,St Paul's School (Massey),"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqkG-y6-teacher/,principal@stpaulsprimary.school.nz,N/A,"Northcross Intermediate Auckland Scale A teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:41 pm 01 December 2025 Closes 4pm 12 December 2025 Reference #: 1HAqpj Full details"
Technology teacher,Paraparaumu College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqkE-technology-teacher/,Lwc@pc.school.nz,N/A,"Wairarapa College Wellington Food technology teacher Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher Technology Suitable for beginning teachers Full details Listed 10:56 am 27 November 2025 Closes 3pm 10 December 2025 Reference #: 1HAqmG Full details"
Teacher,Taoroa School,"Full time, Fixed term, Start Date: 20/04/2026, End Date: 18/12/2026(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqkC-a-fantastic-opportunity-for-a-passionate-teacher-fixed-term/,principal@taoroa.school.nz,N/A,"Foxton Beach School Manawatu/Whanganui Classroom teacher or acceleration teacher Full time, Fixed term, Start Date: 27/01/2026, End Date: 18/12/2026 (Releasing Deputy Principal) Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Teacher Bonding Scheme Full details Listed 2:04 pm 28 November 2025 Closes 9am 08 December 2025 Reference #: 1HAqo0 Full details"
Y5-6 teacher,Randwick Park School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 15/12/2026(Permanent staffing positions are full)",https://gazette.education.govt.nz/vacancies/1HAqkB-full-time-fixed-term-year-56-teacher/,rpoffice@randwickpark.school.nz,N/A,"Pigeon Mountain School Auckland Y6 teacher Full time, Fixed term, Start Date: 28/01/2026, End Date: 15/12/2026 (Maternity leave) Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 10:16 am 01 December 2025 Closes 3pm 05 December 2025 Reference #: 1HAqoK Full details"
Mathematics teacher,Wellington College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqkA-mathematics-teacher-permanent-full-time/,k.burn@wc.school.nz,N/A,"Wainuiomata High School Wellington Mathematics teacher Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher Mathematics and statistics Suitable for beginning teachers Full details Listed today 2:10 pm 01 December 2025 Closes 9am 15 December 2025 Reference #: 1HAqpX Full details"
Science teacher,Marlborough Boys' College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqk8-science-teacher-2/,apply@mbc.school.nz,N/A,"OneSchool Global - New Zealand Canterbury Specialist Science Teacher - Timaru Campus Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher Science Full details Listed 12:20 pm 27 November 2025 Closes 8pm 27 January 2026 Reference #: 1HAqma Full details"
FTP teacher of hard materials,Verdon College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqk3-ftp-teacher-of-hard-materials/,jeruera@verdoncollege.school.nz,N/A,"Papanui High School Canterbury Learning support coordinator Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 11:48 am 19 November 2025 Closes 3pm 02 December 2025 Reference #: 1HAqbW Full details"
BLENNZ Auckland North - Resource Teacher Vision (RTV),Blind and Low Vision Education Network NZ,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(ORS)",https://gazette.education.govt.nz/vacancies/1HAqk1-blennz-auckland-north-resource-teacher-vision-rtv/,sharon.goldsmith@blennz.school.nz,N/A,"Lynfield College Auckland English teacher Full time, Fixed term, Start Date: 27/01/2026, End Date: 28/01/2027 (Increase in student numbers) Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:16 pm 01 December 2025 Closes 12.00 noon 08 December 2025 Reference #: 1HAqpi Full details"
Team leader English medium | teacher Y6–8,Tāmaki School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqk0-team-leader-english-medium-teacher-year-68-permanent-position/,cleota@tamakiprimary.school.nz,N/A,"Northcross Intermediate Auckland Scale A teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:41 pm 01 December 2025 Closes 4pm 12 December 2025 Reference #: 1HAqpj Full details"
Learning support coordinator,South Auckland S D A School,"Part time, Permanent, FTTE up to: 0.7",https://gazette.education.govt.nz/vacancies/1HAqjz-learning-support-coordinator/,maxinet@sasda.school.nz,N/A,"Ponsonby Primary School Auckland LSC - learning support coordinator Part time, Permanent, FTTE up to: 0.6 Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 8:35 am 28 November 2025 Closes 3pm 04 December 2025 Reference #: 1HAqn5 Full details"
Special education teacher,Te Puke High School,"Part time, Fixed term, FTTE up to: 0.4, Start Date: 28/01/2026, End Date: 04/12/2026(Temporary appointment )",https://gazette.education.govt.nz/vacancies/1HAqju-special-education-teacher/,principalspa@tepuke.school.nz,N/A,"Epsom Girls Grammar School Auckland Teacher of philosophy Part time, Fixed term, FTTE up to: 0.4, Start Date: 28/01/2026, End Date: 27/01/2027 (Fluctuation in senior option hours) Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed 8:52 am 27 November 2025 Closes 12pm 09 December 2025 Reference #: 1HAqkt Full details"
"Y6–7 teacher, (0.4 or 0.6)",Matamata Christian School,"Part time, Permanent, FTTE up to: 0.6",https://gazette.education.govt.nz/vacancies/1HAqjt-year-67-teacher-permanent-part-time-0-4-or-0-6/,alistairpaterson@matamata.school.nz,N/A,"Ponsonby Primary School Auckland LSC - learning support coordinator Part time, Permanent, FTTE up to: 0.6 Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 8:35 am 28 November 2025 Closes 3pm 04 December 2025 Reference #: 1HAqn5 Full details"
Teacher of junior social science,Rolleston College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqjs-teacher-of-junior-social-science/,recruitment@rollestoncollege.nz,N/A,"Verdon College Otago FTP teacher of hard materials Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed 12:48 pm 26 November 2025 Closes 03 December 2025 Reference #: 1HAqk3 Full details"
Classroom teacher,Pītau-Allenvale School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 16/12/2026(Maternity leave )",https://gazette.education.govt.nz/vacancies/1HAqjo-classroom-teacher/,office@allenvale.school.nz,N/A,"Dorie School Canterbury NE-Y2 teacher Full time, Fixed term, Start Date: 26/01/2026, End Date: 25/01/2027 (Due to permanent teacher working flexible hours ) Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Teacher Bonding Scheme Full details Listed 12:50 pm 28 November 2025 Closes 4pm 08 December 2025 Reference #: 1HAqnk Full details"
Science teacher,Tokomairiro High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqjk-science-teacher/,thsprincipal@tokohigh.school.nz,N/A,"OneSchool Global - New Zealand Canterbury Specialist Science Teacher - Timaru Campus Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher Science Full details Listed 12:20 pm 27 November 2025 Closes 8pm 27 January 2026 Reference #: 1HAqma Full details"
Music teacher,Mt Albert Grammar School,"Full time, Fixed term, Start Date: 22/01/2026, End Date: 11/12/2026(Roll growth)",https://gazette.education.govt.nz/vacancies/1HAqji-music-teacher/,shayes@mags.school.nz,N/A,"Lynfield College Auckland English teacher Full time, Fixed term, Start Date: 27/01/2026, End Date: 28/01/2027 (Increase in student numbers) Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:16 pm 01 December 2025 Closes 12.00 noon 08 December 2025 Reference #: 1HAqpi Full details"
Head teacher,Little Nest Early Learning Centre,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqjf-head-teacher/,info@littlenestelc.co.nz,N/A,"Busy Bees Hobsonville Auckland ECE unregistered teacher Full time, Permanent Early learning / kōhanga reo, Unqualified teacher English, Belonging / Mana Whenua Full details Listed 12:24 pm 28 November 2025 Closes 5pm 28 December 2025 Reference #: 1HAqnb Full details"
English teacher,Mangere College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqjc-english-teacher/,principal@mangerecollege.school.nz,N/A,"Rutherford College Auckland Junior social sciences teacher (plus other subjects) Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 12:44 pm 01 December 2025 Closes 3pm 15 December 2025 Reference #: 1HAqp1 Full details"
"Scale A teacher, Y5-8",Hamilton Christian School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 19/07/2026(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqjb-scale-a-teacher/,vacancies@hamiltonchristian.school.nz,N/A,"Goldfields School (Paeroa) Waikato Teacher – specialist school Full time, Fixed term, Start Date: 28/01/2026, End Date: 31/12/2026 (Fluctuating roll) Certificated teacher, Area / composite (Years 1–15), Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 1:58 pm 01 December 2025 Closes 12pm 16 January 2026 Reference #: 1HAqpW Full details"
Classroom teacher Y7–8,Hastings Intermediate,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqja-classroom-teacher-yr78/,lesleys@hastingsintermediate.school.nz,N/A,"St Joseph's School (Hastings) Hawke's Bay Y7– 8 Scale A teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed today 12:45 pm 01 December 2025 Closes 2pm 12 December 2025 Reference #: 1HAqoe Full details"
Y1 teacher,Andersons Bay School,"Full time, Fixed term, Start Date: 27/01/2026, End Date: 16/12/2026(Unexpected Y1 roll growth)",https://gazette.education.govt.nz/vacancies/1HAqj_-fixed-term-year-1-teacher-unexpected-roll-growth/,admin@andybay.ac.nz,N/A,"Remarkables Primary School Otago Kaiako Full time, Fixed term, Start Date: 03/02/2026, End Date: 16/12/2026 (Project based on New Curriculum) Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed 11:33 am 28 November 2025 Closes 5pm 08 December 2025 Reference #: 1HAqnJ Full details"
Y1-8 0.4 classroom release teacher,Kingsview School,"Part time, Fixed term, FTTE up to: 0.4, Start Date: 03/02/2026, End Date: 16/12/2026(Covering leave)",https://gazette.education.govt.nz/vacancies/1HAqjZ-y1-y8-0-4-classroom-release-teacher-20-days-per-term/,office@kingsview.school.nz,N/A,"Wakefield School Tasman/Nelson Teacher – additional hours by negotiation Part time, Fixed term, FTTE up to: 0.4, Start Date: 28/01/2026, End Date: 15/12/2026 (Covering leave for two teachers (0.2 each)) Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed today 1:38 pm 01 December 2025 Closes 5pm 07 December 2025 Reference #: 1HAqpP Full details"
Kaiako,Barrytown School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqjT-kaiako/,principal@barrytown.school.nz,N/A,"Greymouth Main School West Coast Y7–8 Scale A teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 2:06 pm 24 November 2025 Closes 3pm 05 December 2025 Reference #: 1HAqgc Full details"
Scale A teacher,Pasadena Intermediate,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqjS-scale-a-teacher-permanent-full-time/,sanjay@pasadena.school.nz,N/A,"Northcross Intermediate Auckland Scale A teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:41 pm 01 December 2025 Closes 4pm 12 December 2025 Reference #: 1HAqpj Full details"
Y5 and Y6 teacher,Ngunguru School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqjR-teach-at-the-beach/,office@ngunguru.school.nz,N/A,"Rawene School Northland Classroom teacher Y2–4 Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts MITA Full details Listed today 11:59 am 01 December 2025 Closes 3pm 10 December 2025 Reference #: 1HAqoi Full details"
Teacher relief coordinator,Darfield High School,"Full time, Fixed term, Start Date: 30/01/2026, End Date: 14/12/2026(Project based)",https://gazette.education.govt.nz/vacancies/1HAqjP-teacher-relief-coordinator-fixed-term/,principal@darfield.school.nz,N/A,"Hillmorton High School Canterbury Speech and language therapist Full time, Fixed term, Start Date: 16/02/2026, End Date: 27/01/2027 (Parental leave) Resource teacher, General, Therapist English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 10:00 am 01 December 2025 Closes 3pm 05 December 2025 Reference #: 1HAqoD Full details"
Y3–4 Kereru Teacher,Thorndon School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqjN-year-34-kereru-teacher/,office@thorndonprimary.school.nz,N/A,"Pinehaven School Wellington Scale A teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 1:10 pm 01 December 2025 Closes 12pm 15 December 2025 Reference #: 1HAqpB Full details"
Business studies teacher,Rangitīkei College,"Part time, Fixed term, FTTE up to: 0.2, Start Date: 02/02/2026, End Date: 11/12/2026(Cover for study award leave)",https://gazette.education.govt.nz/vacancies/1HAqjM-business-studies-teacher/,mmarshall@rangitikeicollege.school.nz,N/A,"Epsom Girls Grammar School Auckland Teacher of philosophy Part time, Fixed term, FTTE up to: 0.4, Start Date: 28/01/2026, End Date: 27/01/2027 (Fluctuation in senior option hours) Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed 8:52 am 27 November 2025 Closes 12pm 09 December 2025 Reference #: 1HAqkt Full details"
Reo-Rua Scale  junior teacher,Flaxmere Primary School,"Full time, Fixed term, Start Date: 29/01/2026, End Date: 11/12/2026(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqjp-reo-rua-scale-junior-teacher/,robyn.isaacson@flaxmere.school.nz,N/A,"Awapuni School (Gisborne) Gisborne Classroom teacher Y5 and 6 Full time, Fixed term, Start Date: 27/01/2026, End Date: 18/12/2026 (Maternity leave) Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 2:50 pm 01 December 2025 Closes 12pm 10 December 2025 Reference #: 1HAqpd Full details"
Learning support / mentor,Summit Point School,"Full time, Fixed term, Start Date: 20/01/2026, End Date: 11/12/2026(Learning support position)",https://gazette.education.govt.nz/vacancies/1HAqjr-full-time-learning-support-mentor-needed/,admin@summitpoint.school.nz,N/A,"Pigeon Mountain School Auckland Y6 teacher Full time, Fixed term, Start Date: 28/01/2026, End Date: 15/12/2026 (Maternity leave) Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 10:16 am 01 December 2025 Closes 3pm 05 December 2025 Reference #: 1HAqoK Full details"
Scale A classroom teacher - new entrant/Y1,Te Anau School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqje-permanent-scale-a-classroom-teacher-new-entrantyear-1/,principal@teanau.school.nz,N/A,"Te Waitai Sefton School Canterbury Y7–8 kaiako/teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed today 11:01 am 01 December 2025 Closes 12 noon 07 December 2025 Reference #: 1HAqoX Full details"
Te Reo Maaori teacher 2026,Manurewa High School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 11/12/2026(Parental leave)",https://gazette.education.govt.nz/vacancies/1HAqjY-te-reo-maaori-teacher-fixed-term-full-time-2026/,Manaia.Laulu@manurewa.school.nz,N/A,"Lynfield College Auckland English teacher Full time, Fixed term, Start Date: 27/01/2026, End Date: 28/01/2027 (Increase in student numbers) Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:16 pm 01 December 2025 Closes 12.00 noon 08 December 2025 Reference #: 1HAqpi Full details"
Y9-13 math teacher,Hare Krishna School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqjK-year-9-13-math-teacher/,principal@harekrishna.school.nz,N/A,"Rutherford College Auckland Junior social sciences teacher (plus other subjects) Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 12:44 pm 01 December 2025 Closes 3pm 15 December 2025 Reference #: 1HAqp1 Full details"
Teacher - Auckland West Unit (Henderson),Northern Health School,"Part time, Permanent, FTTE up to: 0.6",https://gazette.education.govt.nz/vacancies/1HAqjF-teacher-auckland-west-unit-henderson/,employment@nhs.school.nz,N/A,"Ponsonby Primary School Auckland LSC - learning support coordinator Part time, Permanent, FTTE up to: 0.6 Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 8:35 am 28 November 2025 Closes 3pm 04 December 2025 Reference #: 1HAqn5 Full details"
Teacher - Auckland West Unit (Henderson),Northern Health School,"Part time, Permanent, FTTE up to: 0.6",https://gazette.education.govt.nz/vacancies/1HAqjE-teacher-auckland-west-unit-henderson/,employment@nhs.school.nz,N/A,"Ponsonby Primary School Auckland LSC - learning support coordinator Part time, Permanent, FTTE up to: 0.6 Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 8:35 am 28 November 2025 Closes 3pm 04 December 2025 Reference #: 1HAqn5 Full details"
Teacher of special needs,Tokoroa High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqjC-teacher-of-special-needs/,elsabea@tokoroahigh.school.nz,N/A,"OneSchool Global - New Zealand Waikato Y7–8 teacher - Hamilton Campus Full time, Permanent Certificated teacher, Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 12:44 pm 24 November 2025 Closes 8pm 12 January 2026 Reference #: 1HAqgh Full details"
Teacher,Carterton School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Project based)",https://gazette.education.govt.nz/vacancies/1HAqjA-fixed-term-teacher/,principal@carterton.school.nz,N/A,"Koraunui School Wellington Junior classroom Kaiako, Māori medium Full time, Fixed term, Start Date: 28/01/2026, End Date: 16/12/2026 (Extended leave) Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts 1 x Māori immersion teachers allowance (MITA) may apply Suitable for beginning teachers Full details Listed 11:22 am 27 November 2025 Closes 4pm 08 December 2025 Reference #: 1HAqmR Full details"
Drama teacher,Rangitīkei College,"Part time, Permanent, FTTE up to: 0.4",https://gazette.education.govt.nz/vacancies/1HAqjG-drama-teacher/,mmarshall@rangitikeicollege.school.nz,N/A,"Marlborough Girls' College Marlborough Hauora & tuakana teina leader Part time, Permanent, FTTE up to: 0.4 Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed 1:12 pm 26 November 2025 Closes 4pm 10 December 2025 Reference #: 1HAqkD Full details"
Teacher of PE and health,Ashburton College,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(While recruiting permanently)",https://gazette.education.govt.nz/vacancies/1HAqjB-teacher-of-pe-and-health/,roo@ashcoll.school.nz,N/A,"Darfield High School Canterbury Teacher relief coordinator Full time, Fixed term, Start Date: 30/01/2026, End Date: 14/12/2026 (Project based) Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 11:53 am 26 November 2025 Closes 9am 10 December 2025 Reference #: 1HAqjP Full details"
Science teacher,Western Springs College-Ngā Puna o Waiōrea,"Full time, Fixed term, Start Date: 27/01/2026, End Date: 02/04/2026(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqj9-science-teacher/,vacancies@wsc.school.nz,N/A,"Lynfield College Auckland English teacher Full time, Fixed term, Start Date: 27/01/2026, End Date: 28/01/2027 (Increase in student numbers) Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:16 pm 01 December 2025 Closes 12.00 noon 08 December 2025 Reference #: 1HAqpi Full details"
Scale A teacher,Carterton School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqiz-permanent-scale-a-teacher/,principal@carterton.school.nz,N/A,"Pinehaven School Wellington Scale A teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 1:10 pm 01 December 2025 Closes 12pm 15 December 2025 Reference #: 1HAqpB Full details"
Mathematics teacher,Stratford High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqj6-mathematics-teacher/,joe.mack@stratfordhigh.school.nz,N/A,"Spotswood College Taranaki Special education teacher Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed today 2:46 pm 01 December 2025 Closes 12 noon 15 December 2025 Reference #: 1HAqpc Full details"
Digital technology / soft materials teacher,Forest View High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqj8-digital-techsoft-materials-teacher/,pa@fvhs.school.nz,N/A,"Rototuna Junior High School Waikato Technology (DVC or soft materials) teacher Y7–10 Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher Technology Suitable for beginning teachers Full details Listed today 12:51 pm 01 December 2025 Closes 3.00 pm 15 December 2025 Reference #: 1HAqp3 Full details"
